run_id,optimizer,lr,step,parameter,count,alpha_up,alpha_dn,lag_est,lag_XW,gblk0,gblk1,gblk2,gblk3
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,250,smear_gate.weight,1,0.6218,0.6536,0.5069,0.179,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,250,blocks.*.attn.attn_gate.weight,10,0.4986,0.6056,0.613,0.05261,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,250,blocks.*.attn.qkvo_w,10,0.4236,0.3857,0.7524,0.04712,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,250,blocks.*.mlp.c_fc,11,0.2634,0.1705,0.7429,0.08597,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,250,blocks.*.mlp.c_proj,11,0.3702,0.01402,0.6861,0.3359,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,250,blocks.*.attn.qkvo_w,,,,,,0.06938,0.06762,0.1576,0.1638
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,500,smear_gate.weight,1,0.7802,0.7406,0.3209,0.1394,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,500,blocks.*.attn.attn_gate.weight,10,0.5482,0.5352,0.5771,0.0518,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,500,blocks.*.attn.qkvo_w,10,0.3252,0.3616,0.7798,0.02794,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,500,blocks.*.mlp.c_fc,11,0.1941,0.2178,0.7739,0.03732,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,500,blocks.*.mlp.c_proj,11,0.4621,0.006949,0.568,0.246,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,500,blocks.*.attn.qkvo_w,,,,,,0.03804,0.03654,0.09114,0.1181
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,750,smear_gate.weight,1,0.6701,0.3632,0.2027,0.09165,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,750,blocks.*.attn.attn_gate.weight,10,0.5569,0.5031,0.5209,0.05433,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,750,blocks.*.attn.qkvo_w,10,0.3029,0.3536,0.8103,0.02074,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,750,blocks.*.mlp.c_fc,11,0.1917,0.2419,0.8004,0.02578,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,750,blocks.*.mlp.c_proj,11,0.4692,0.006772,0.5688,0.1798,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,750,blocks.*.attn.qkvo_w,,,,,,0.03084,0.02987,0.1054,0.1121
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1000,smear_gate.weight,1,0.6305,0.5425,0.2255,0.05272,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1000,blocks.*.attn.attn_gate.weight,10,0.5542,0.5372,0.4883,0.04789,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1000,blocks.*.attn.qkvo_w,10,0.2885,0.3519,0.8059,0.01746,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1000,blocks.*.mlp.c_fc,11,0.2101,0.2545,0.7945,0.02101,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1000,blocks.*.mlp.c_proj,11,0.5011,0.00737,0.5488,0.1397,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1000,blocks.*.attn.qkvo_w,,,,,,0.02882,0.02788,0.08663,0.08481
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1250,smear_gate.weight,1,0.6663,0.5846,0.3693,0.01287,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1250,blocks.*.attn.attn_gate.weight,10,0.5139,0.5088,0.5813,0.05208,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1250,blocks.*.attn.qkvo_w,10,0.266,0.3631,0.8326,0.0147,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1250,blocks.*.mlp.c_fc,11,0.213,0.2608,0.8108,0.01765,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1250,blocks.*.mlp.c_proj,11,0.4844,0.007955,0.5725,0.1148,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1250,blocks.*.attn.qkvo_w,,,,,,0.0334,0.02918,0.113,0.08367
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1500,smear_gate.weight,1,0.7175,0.4423,0.6161,0.007688,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1500,blocks.*.attn.attn_gate.weight,10,0.5254,0.4312,0.5284,0.04328,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1500,blocks.*.attn.qkvo_w,10,0.2988,0.3576,0.8297,0.0109,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1500,blocks.*.mlp.c_fc,11,0.2184,0.251,0.7891,0.01314,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1500,blocks.*.mlp.c_proj,11,0.535,0.005594,0.5206,0.09875,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1500,blocks.*.attn.qkvo_w,,,,,,0.02677,0.02373,0.0861,0.07003
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1750,smear_gate.weight,1,0.5876,0.5047,0.3173,0.006696,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1750,blocks.*.attn.attn_gate.weight,10,0.5291,0.5413,0.4941,0.03147,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1750,blocks.*.attn.qkvo_w,10,0.3037,0.3498,0.7783,0.007751,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1750,blocks.*.mlp.c_fc,11,0.2476,0.2496,0.7519,0.009231,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1750,blocks.*.mlp.c_proj,11,0.5593,0.003256,0.4818,0.08972,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,1750,blocks.*.attn.qkvo_w,,,,,,0.02273,0.02273,0.07081,0.05617
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,2000,smear_gate.weight,1,0.7733,0.2908,0.2413,0.005831,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,2000,blocks.*.attn.attn_gate.weight,10,0.5414,0.5026,0.4346,0.01953,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,2000,blocks.*.attn.qkvo_w,10,0.2969,0.3342,0.7966,0.004797,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,2000,blocks.*.mlp.c_fc,11,0.222,0.2354,0.7743,0.005846,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,2000,blocks.*.mlp.c_proj,11,0.5626,0.001351,0.4811,0.08498,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,2000,blocks.*.attn.qkvo_w,,,,,,0.025,0.0237,0.07646,0.05805
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,2250,smear_gate.weight,1,0.7204,0.2173,0.1976,0.002519,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,2250,blocks.*.attn.attn_gate.weight,10,0.5467,0.3173,0.424,0.01387,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,2250,blocks.*.attn.qkvo_w,10,0.3218,0.2883,0.73,0.002051,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,2250,blocks.*.mlp.c_fc,11,0.2428,0.1938,0.7074,0.002663,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,2250,blocks.*.mlp.c_proj,11,0.5849,0.0002373,0.4193,0.08298,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,2250,blocks.*.attn.qkvo_w,,,,,,0.0221,0.0216,0.06126,0.05004
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,2330,smear_gate.weight,1,0.8276,0.1651,0.2773,0.003848,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,2330,blocks.*.attn.attn_gate.weight,10,0.592,0.3507,0.5982,0.00853,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,2330,blocks.*.attn.qkvo_w,10,0.4061,0.3803,0.7947,0.001121,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,2330,blocks.*.mlp.c_fc,11,0.3547,0.2529,0.7849,0.001339,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,2330,blocks.*.mlp.c_proj,11,0.5962,0.0001233,0.609,0.08274,,,,
EF21-MuonSign_lr0.06_e6770317,EF21-MuonSign,0.06,2330,blocks.*.attn.qkvo_w,,,,,,0.02058,0.02062,0.05626,0.04716
EF21-MuonUSign_lr0.06_2717df49,EF21-MuonUSign,0.06,250,smear_gate.weight,1,0.5543,,0.8514,,,,,
EF21-MuonUSign_lr0.06_2717df49,EF21-MuonUSign,0.06,250,blocks.*.attn.attn_gate.weight,10,0.5342,,0.6895,,,,,
EF21-MuonUSign_lr0.06_2717df49,EF21-MuonUSign,0.06,250,blocks.*.attn.qkvo_w,10,0.3655,,0.7682,,,,,
EF21-MuonUSign_lr0.06_2717df49,EF21-MuonUSign,0.06,250,blocks.*.mlp.c_fc,11,0.2033,,0.7757,,,,,
EF21-MuonUSign_lr0.06_2717df49,EF21-MuonUSign,0.06,250,blocks.*.mlp.c_proj,11,0.3628,,0.6965,,,,,
EF21-MuonUSign_lr0.06_2717df49,EF21-MuonUSign,0.06,250,blocks.*.attn.qkvo_w,,,,,,0.04776,0.04881,0.1175,0.1405
EF21-MuonUSign_lr0.06_2717df49,EF21-MuonUSign,0.06,500,smear_gate.weight,1,0.6762,,1.055,,,,,
EF21-MuonUSign_lr0.06_2717df49,EF21-MuonUSign,0.06,500,blocks.*.attn.attn_gate.weight,10,0.5896,,0.6396,,,,,
EF21-MuonUSign_lr0.06_2717df49,EF21-MuonUSign,0.06,500,blocks.*.attn.qkvo_w,10,0.2715,,0.8173,,,,,
